Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
D92	SOD-323_L1.8-W1.3-LS2.5-BI	92.93mm	8.83mm	92.93mm	8.83mm	92.93mm	9.95mm	T	270	PESD3V3L1BA-N
ESD4	D0402-BI	90.42mm	48.43mm	90.42mm	48.43mm	90.92mm	48.43mm	T	180	0402ESDA-05N
ESD-PROT1	D0402-BI	100.66mm	40.58mm	100.66mm	40.58mm	101.16mm	40.58mm	T	180	0402ESDA-05N
ESD-PROT2	D0402-BI	19.96mm	51.01mm	19.96mm	51.01mm	20.46mm	51.01mm	T	180	0402ESDA-05N
ESD-PROT3	D0402-BI	33.74mm	51.08mm	33.74mm	51.08mm	34.24mm	51.08mm	T	180	0402ESDA-05N
ESP-PROG	HDR-TH_2P-P2.54-V-M-1	89.54mm	35.86mm	89.54mm	35.86mm	90.81mm	35.86mm	T	180	22-28-4020
F1	F1206	94.12mm	46.53mm	94.12mm	46.53mm	92.67mm	46.53mm	T	0	JK-NSMD150/6V
F2	F1206	98.75mm	9.57mm	98.75mm	9.57mm	98.75mm	8.13mm	T	90	1206L050YR
GPIO	HDR-TH_32P-P2.54-H-M-R2-C16-S2.54	80.21mm	5.11mm	80.21mm	5.11mm	61.16mm	3.84mm	T	0	PZ254-2-16-W-8.5
L1	L1206	83.7mm	46.92mm	83.7mm	46.92mm	82.11mm	46.92mm	T	0	HCB3216KF-601T30
L2	L0603	94.85mm	44.55mm	94.85mm	44.55mm	95.55mm	44.55mm	T	0	120Ω ±25%
L3	L0603	100.8mm	10.43mm	100.8mm	10.43mm	100.8mm	11.13mm	T	90	120Ω ±25%
L4	IND-SMD_L1.2-W0.6	68.1mm	30.91mm	68.1mm	30.91mm	67.5mm	30.91mm	T	0	2nH
LDO	TO-220-3_L10.0-W4.5-P2.54-L	99.1mm	37.05mm	99.1mm	37.05mm	101.64mm	37.05mm	T	180	LM1086T-3.3
OSC	ASE18432MHZLCT	44.15mm	47.85mm	44.15mm	47.85mm	43.33mm	48.9mm	T	270	ASE-18.432MHZ-L-C-T
PS2	PS2_PORT	26.85mm	56.8mm	26.82mm	59.9mm	25.53mm	56.14mm	T	0	CADANIA 1AA300833_JHJC
PWR	LED0805-R-RD	93.67mm	41.73mm	93.67mm	41.73mm	92.62mm	41.73mm	T	180	BL-HGE35A-AV-TRB
Q1	SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR	83.82mm	33.45mm	83.82mm	33.45mm	84.77mm	32.8mm	T	0	UMH3N
Q2	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	19.66mm	48.62mm	19.66mm	48.62mm	18.71mm	47.62mm	T	270	AO3404
Q3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	34.11mm	48.67mm	34.11mm	48.67mm	33.16mm	47.67mm	T	270	AO3404
Q4	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR	30.55mm	38.91mm	30.55mm	38.91mm	31.78mm	37.96mm	T	0	BC847BLT1G
R1	R0402	82.5mm	49.3mm	82.5mm	49.3mm	82.5mm	48.87mm	T	90	1MΩ
R2	R0402	92.61mm	44.11mm	92.61mm	44.11mm	92.61mm	44.54mm	T	270	330Ω
R3	R0402	80.7mm	19.63mm	80.7mm	19.63mm	80.7mm	20.07mm	T	270	10KΩ
R4	R0402	18.69mm	45.83mm	18.69mm	45.83mm	18.69mm	45.4mm	T	90	4.7KΩ
R5	R0402	102.19mm	2.05mm	102.19mm	2.05mm	101.76mm	2.05mm	T	0	22KΩ
R6	R0402	81.36mm	35.22mm	81.36mm	35.22mm	81.79mm	35.22mm	T	180	470Ω
R7	R0402	81.36mm	36.37mm	81.36mm	36.37mm	81.79mm	36.37mm	T	180	470Ω
R8	R0402	60.07mm	40.13mm	60.07mm	40.13mm	60.07mm	39.69mm	T	90	402Ω
R9	R0402	58.93mm	40.13mm	58.93mm	40.13mm	58.93mm	39.69mm	T	90	806Ω
R10	R0402	64.01mm	40.05mm	64.01mm	40.05mm	64.01mm	39.62mm	T	90	806Ω
R11	R0402	66.8mm	40.05mm	66.8mm	40.05mm	66.8mm	39.62mm	T	90	806Ω
R12	R0402	62.87mm	40.05mm	62.87mm	40.05mm	62.87mm	39.62mm	T	90	402Ω
R13	R0402	67.95mm	40.05mm	67.95mm	40.05mm	67.95mm	39.62mm	T	90	402Ω
R14	R0402	40.38mm	48.5mm	40.38mm	48.5mm	40.38mm	48.93mm	T	270	4.7KΩ
R15	R0402	7.68mm	15.35mm	7.68mm	15.35mm	7.68mm	15.78mm	T	270	10KΩ
R16	R0402	12.03mm	30.86mm	12.03mm	30.86mm	12.03mm	30.43mm	T	90	10KΩ
R17	R0402	88.14mm	45.46mm	88.14mm	45.46mm	88.14mm	45.89mm	T	270	10Ω
R18	R0402	89.92mm	45.46mm	89.92mm	45.46mm	89.92mm	45.89mm	T	270	10Ω
R19	R0402	63.04mm	20.18mm	63.04mm	20.18mm	63.04mm	20.61mm	T	270	10KΩ
R20	R0402	90.81mm	33.32mm	90.81mm	33.32mm	90.81mm	33.75mm	T	270	10KΩ
R21	R0402	102.21mm	0.83mm	102.21mm	0.83mm	101.78mm	0.83mm	T	0	22KΩ
R22	R0603	39.28mm	40.83mm	39.28mm	40.83mm	40.03mm	40.83mm	T	180	270Ω
R23	R0603	39.23mm	44.03mm	39.23mm	44.03mm	39.99mm	44.03mm	T	180	150Ω
R24	R0402	17.41mm	48.4mm	17.41mm	48.4mm	17.41mm	47.97mm	T	90	22KΩ
R25	R0402	58.64mm	23.36mm	58.64mm	23.36mm	58.21mm	23.36mm	T	0	4.7KΩ
R26	R0402	20.61mm	44.6mm	20.61mm	44.6mm	20.61mm	44.16mm	T	90	22KΩ
R27	R0402	35.07mm	44.94mm	35.07mm	44.94mm	35.07mm	44.51mm	T	90	22KΩ
R28	R0402	28.03mm	38.51mm	28.03mm	38.51mm	28.03mm	38.08mm	T	90	2kΩ
R29	R0402	36.35mm	48.44mm	36.35mm	48.44mm	36.35mm	48mm	T	90	22KΩ
R30	R0402	33.15mm	45.88mm	33.15mm	45.88mm	33.15mm	45.44mm	T	90	4.7KΩ
R31	R0402	38.71mm	16.13mm	38.71mm	16.13mm	39.14mm	16.13mm	T	180	33Ω
R32	R0402	44.93mm	43.98mm	44.93mm	43.98mm	44.93mm	43.55mm	T	90	33Ω
R34	R0402	1.09mm	37.36mm	1.09mm	37.36mm	1.09mm	37.79mm	T	270	4.7KΩ
R35	R0402	6.16mm	34.75mm	6.16mm	34.75mm	5.73mm	34.75mm	T	0	4.7KΩ
R36	R0402	82.67mm	42.46mm	82.67mm	42.46mm	82.24mm	42.46mm	T	0	4.7KΩ
R37	R0402	9.09mm	44.53mm	9.09mm	44.53mm	9.09mm	44.97mm	T	270	47KΩ
R38	R0402	47.1mm	35.19mm	47.1mm	35.19mm	47.1mm	34.76mm	T	90	33Ω
R39	R0402	11.39mm	42.48mm	11.39mm	42.48mm	11.39mm	42.92mm	T	270	47KΩ
R41	R0402	14.85mm	38.45mm	14.85mm	38.45mm	14.85mm	38.89mm	T	270	47KΩ
R51	R0402	17.15mm	36.4mm	17.15mm	36.4mm	17.15mm	36.84mm	T	270	47KΩ
R52	R0402	6.78mm	46.55mm	6.78mm	46.55mm	6.78mm	46.98mm	T	270	47KΩ
R53	R0402	86.53mm	25.43mm	86.53mm	25.43mm	86.53mm	25.86mm	T	270	10KΩ
R77	R0402	41.9mm	33.67mm	41.91mm	33.67mm	42.34mm	33.67mm	T	180	33Ω
R78	R0402	53.31mm	14.51mm	53.31mm	14.51mm	53.31mm	14.95mm	T	270	33Ω
R79	R0402	54.46mm	14.51mm	54.46mm	14.51mm	54.46mm	14.95mm	T	270	33Ω
R84	R0402	45.06mm	34.1mm	45.06mm	34.1mm	45.06mm	34.53mm	T	270	33Ω
R85	R0402	13.38mm	47.51mm	13.38mm	47.51mm	13.38mm	47.94mm	T	270	33Ω
R87	R0402	55.62mm	12.43mm	55.62mm	12.43mm	55.62mm	12.86mm	T	270	10KΩ
R88	R0402	54.46mm	12.43mm	54.46mm	12.43mm	54.46mm	12.86mm	T	270	10KΩ
R93	R0402	38.71mm	14.98mm	38.71mm	14.98mm	38.27mm	14.98mm	T	0	10KΩ
R111	R0402	55.62mm	14.51mm	55.62mm	14.51mm	55.62mm	14.95mm	T	270	4.7KΩ
R112	R0402	58.7mm	20.42mm	58.7mm	20.42mm	58.27mm	20.42mm	T	0	4.7KΩ
R113	R0402	58.7mm	19.26mm	58.7mm	19.26mm	58.27mm	19.26mm	T	0	4.7KΩ
R117	R0402	61.46mm	31.17mm	61.46mm	31.17mm	61.89mm	31.17mm	T	180	33Ω
R118	R0402	66.75mm	26.58mm	66.75mm	26.58mm	66.75mm	26.15mm	T	90	33Ω
R119	R0402	58.83mm	26.82mm	58.83mm	26.82mm	59.26mm	26.82mm	T	180	33Ω
R120	R0402	75.78mm	23.35mm	75.78mm	23.35mm	75.78mm	23.78mm	T	270	33Ω
RST	KEY-TH_4P-L7.1-W12.4-P4.50-LS2.5	101.04mm	60.99mm	101.04mm	60.99mm	103.29mm	62.24mm	T	180	TS-1093A-A12B3-D2
SD	TF-SMD_TF-02	9.01mm	55.11mm	9.01mm	55.11mm	6.77mm	49.81mm	T	180	TF-01A_C2889258
U1	QFP50P1600X1600X160-100N	48.58mm	24.32mm	48.58mm	24.32mm	40.85mm	30.32mm	T	0	EZ80F92AZ020EG
U2	SOP80P1181X120-44N	24.53mm	24.29mm	24.53mm	24.29mm	16.13mm	18.56mm	T	90	AS7C34096A-10TCN
U3	QFN-48_L7.0-W7.0-P0.50-BL-EP5.4	73.15mm	29.13mm	73.15mm	29.13mm	69.65mm	31.88mm	T	270	ESP32-PICO-D4
U4	QFN-24_L4.0-W4.0-P0.50-BL-EP2.6	83.82mm	39.42mm	83.82mm	39.42mm	85.73mm	38.17mm	T	90	CP2104-F03-GMR
U5	SOP-8_L4.9-W3.9-P1.27-LS6.0-BL	83.82mm	29.13mm	83.82mm	29.13mm	86.5mm	27.22mm	T	90	APS6404L-3SQR
U6	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR	78.09mm	21.27mm	78.09mm	21.27mm	77.14mm	20.03mm	T	270	APX803S-29SA-7
U7	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR	64.32mm	30.21mm	64.32mm	30.21mm	65.62mm	29.26mm	T	0	SN74LVC1G125DBVR
U8	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR	64.32mm	26.82mm	64.32mm	26.82mm	63.02mm	27.77mm	T	180	SN74LVC1G125DBVR
U9	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR	63.03mm	23.15mm	63.03mm	23.15mm	62.08mm	21.85mm	T	270	SN74LVC1G04DBVR
UART-DIS	HDR-TH_2P-P2.54-V-M-1	66.88mm	18.18mm	66.88mm	18.18mm	68.15mm	18.18mm	T	180	22-28-4020
USB	USB-A-TH_USB-302-T	89.03mm	52.53mm	89.03mm	52.53mm	92.53mm	51.18mm	T	180	292303-1
VGA	L77HDE15SD1CH4RHNVGA	64.76mm	47.33mm	60.44mm	49.87mm	60.44mm	44.79mm	T	180	L77HDE15SD1CH4RHNVGA
ZDI	SHDRRA6W64P254X254_2X3_1528X88	11.89mm	24.96mm	10.62mm	27.5mm	10.62mm	27.5mm	T	90	61200621721
